2015868348;368;3;2
2016634769;944;1;3
2016352406;697;3;3
2016836008;175;5;3
2015867306;853;5;3
2015867306;370;5;1
2016335915;102;2;1
2015096254;229;4;3
2015246359;229;4;2
2015318865;722;4;1
2016539704;617;3;3
2015906560;321;2;2
2017167155;944;1;2
2016866038;617;3;2
2016352406;697;4;3
2016242380;463;3;2
2015856707;368;1;2
2016873510;799;5;3
2015046602;321;2;2
2015096254;845;4;1
2015809614;370;3;3
2017167155;102;3;2
2016335915;944;4;3
2016505800;654;1;1
2016780439;799;3;1
2015246359;697;4;3
2016992229;370;5;2
2017912879;793;2;2
2016497874;853;3;2
2016335915;448;2;3
2016497874;370;5;1
2016242380;944;1;2
2016352406;697;4;1
2015856707;793;2;2
2015559893;188;3;2
2016115094;793;5;1
2017001660;697;4;1
2016866038;229;3;2
2016888461;135;3;3
2016242380;463;3;1
2015152082;105;4;1
2016836008;654;2;2
2015809614;370;3;3
2017167155;463;3;3
2017377655;504;1;3
2017842422;188;1;2
2016695429;463;3;2
2016242380;463;3;2
2016888461;368;3;1
2015137795;135;3;3
2016497874;853;1;2
2016056993;117;2;3
2017697145;799;1;3
2016203307;229;4;2
2016048940;617;1;3
2015246359;697;4;3
2015152082;473;4;1
2015906560;722;4;2
2015856707;368;1;3
2016480863;463;5;2
2016203307;697;3;1
2016388571;617;3;3
2016048940;654;2;1
2017167155;944;3;2
2016505800;654;1;2
2016177213;229;3;2
2016801628;799;5;3
2015078271;793;5;3
2015152082;799;5;2
2016242380;188;3;1










